unique_id,code,desc,value,reason,workgroup,controllable,r_cat,r_dets,code_prm,code_sub
OP0205-2021-10-07-BOM-AUH,86A,Insufficient travel doc of guests/INAD/deportee; Incoming guest checks; Guest ,6,"Airport/Govt Authorities - Customs, immigration, health guests and baggage",AptAuth,N,Airport/Govt Authorities,"Customs, immigration, health guests and baggage",86,A
OP0656-2021-10-07-CAI-AUH,16H,Slow settling of guests on board ,9,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0396-2021-10-07-DOH-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,37,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0096-2021-10-07-IST-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,6,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0878-2021-10-07-AUH-NRT,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0653-2021-10-07-AUH-CAI,16I,Guest boarding,8,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0218-2021-10-07-AUH-NCR,16G,Voluntary offload for personal reasons ,53,Pax & Bag - Voluntary Guest Offload,Above Wing,N,Pax & Bag,Voluntary Guest Offload,16,G
OP2333-2021-10-07-AUH-JED,92R,empty,11,Reactionary - Guest check-in error at originating station,Above Wing,N,Reactionary,in error at originating station,92,R
OP2333-2021-10-08-AUH-JED,16I,Guest boarding,8,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0472-2021-10-08-AUH-CGK,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,15,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0038-2021-10-08-CDG-AUH,04A,Dispatch errors; Inefficient coordination of turnaround activities;,46,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP2318-2021-10-08-RUH-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,31,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0431-2021-10-08-BKK-HKT,63B,Late/Lack of airside transportation; Late/Lack of hotel/crew accommodationpick-,3,Crew - Delayed crew/loadmaster due ground transportation/airport congestion,Below Wing,N,Crew,Delayed crew/loadmaster due ground transportation/airport congestion,63,B
OP0460-2021-10-08-AUH-MEL,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,15,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0471-2021-10-08-CGK-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0475-2021-10-08-CGK-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,36,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0058-2021-10-08-BRU-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,21,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0083-2021-10-08-AUH-FCO,41B,empty,22,Technical - Defects identified during transit (cabin items),Technical,N,Technical,Defects identified during transit (cabin items),41,B
OP0655-2021-10-08-AUH-CAI,15B,Guest arriving at gate after deadline ,11,Pax & Bag - Paging/Missing checked-in guest without baggage offload,Above Wing,Y,Pax & Bag,in guest without baggage offload,15,B
OP0037-2021-10-08-AUH-CDG,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2423-2021-10-08-MNL-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,8,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0461-2021-10-09-MEL-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,27,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0654-2021-10-09-CAI-AUH,04A,Dispatch errors; Inefficient coordination of turnaround activities;,14,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP0100-2021-10-09-LAX-AUH,55B,DCS / Load control system failure/slow response Local/Host network failure/slow,14,Network Failure/Slow response of DCS / check-in system outage/latency,Others,N,Network Failure/Slow response of DCS / check,in system outage/latency,55,B
OP0052-2021-10-09-GVA-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,22,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP2334-2021-10-09-JED-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,8,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0385-2021-10-09-MCT-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,14,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0610-2021-10-09-CMN-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0140-2021-10-09-YYZ-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0218-2021-10-09-AUH-NCR,16D,Involuntary offloading of guest (incl. baggage) due medical reasons; on-board,5,Pax & Bag - Medical or personal offload / Medical assessment,Above Wing,N,Pax & Bag,Medical or personal offload / Medical assessment,16,D
OP0430-2021-10-09-AUH-HKT,16I,Guest boarding,43,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0008-2021-10-09-FRA-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,14,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0130-2021-10-09-IAD-AUH,16H,Slow settling of guests on board ,17,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0011-2021-10-09-AUH-LHR,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0022-2021-10-09-MAN-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,15,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0206-2021-10-09-AUH-BOM,87A,Terminal building limitations/congestion; (use 85/86 for Security/CIH delay); ,15,Airport/Govt Auth - Airport terminal infrastructure/congestion limitations,AptAuth,N,Airport/Govt Authorities,Airport terminal infrastructure/congestion limitations,87,A
OP0288-2021-10-09-AUH-AMD,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,9,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0268-2021-10-09-AUH-MAA,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,6,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0475-2021-10-09-CGK-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,10,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0084-2021-10-09-FCO-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,6,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0150-2021-10-09-ORD-AUH,04A,Dispatch errors; Inefficient coordination of turnaround activities;,8,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP0245-2021-10-09-DAC-AUH,77A,empty,30,Weather - Ground handling impaired by adverse weather,Weather,N,Weather,Ground handling impaired by adverse weather,77,A
OP0007-2021-10-09-AUH-FRA,22A,Late/Lack of manpower and/or ground service equipment by GHA,3,Cargo & Mail - Late/Lack of manpower and/or ground service equipment by GHA,Below Wing,Y,Cargo & Mail,Late/Lack of manpower and/or ground service equipment by GHA,22,A
OP0516-2021-10-09-AMM-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0268-2021-10-10-AUH-MAA,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,24,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0653-2021-10-10-AUH-CAI,16B,Passenger searching for missing property/document ,10,Pax & Bag - Guest convenience,Above Wing,N,Pax & Bag,Guest convenience,16,B
OP0075-2021-10-10-AUH-MAD,16H,Slow settling of guests on board ,4,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP2552-2021-10-10-RUH-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,31,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0276-2021-10-10-AUH-HYD,16H,Slow settling of guests on board ,7,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0233-2021-10-10-AUH-ISB,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0657-2021-10-10-AUH-CAI,16I,Guest boarding,10,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0008-2021-10-10-FRA-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,10,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0101-2021-10-10-AUH-LAX,42B,Late/Incorrect completion of documentation; Awaiting engineer sign-off ,4,Technical - Tech documentation/personnel issues during scheduled maint,Technical,N,Technical,Tech documentation/personnel issues during scheduled maint,42,B
OP0007-2021-10-10-AUH-FRA,39A,empty,8,Aircraft & Ramp - Late or lack of technical ramp equipment/staff ,Below Wing,Y,Aircraft & Ramp,Late or lack of technical ramp equipment/staff,39,A
OP0245-2021-10-10-DAC-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,27,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0598-2021-10-10-AUH-TLV,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0005-2021-10-10-AUH-MUC,87B,CUTE equipment slow/failure; PA/FIDS failure; BIWIS & BRS system failure; board,19,Airport/Govt Authorities - Airport IT system malfunctions,AptAuth,N,Airport/Govt Authorities,Airport IT system malfunctions,87,B
OP0280-2021-10-10-AUH-COK,15D,Excess hand luggage retrieval during boarding ,9,Pax & Bag - Handluggage issues during boarding,Above Wing,Y,Pax & Bag,Handluggage issues during boarding,15,D
OP0371-2021-10-10-AUH-BAH,40A,Defects identified during transit; Application of MEL; Lack of manpower,10,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0269-2021-10-10-MAA-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,8,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0078-2021-10-10-AMS-AUH,81A,En-route ATC demand/Capacity constraints; En-route military exercise,26,Air Traffic Flow Management Restrictions - En-route ATC congestion,NOC,N,Air Traffic Flow Management Restrictions,route ATC congestion,81,A
OP0021-2021-10-11-AUH-MAN,42B,Late/Incorrect completion of documentation; Awaiting engineer sign-off ,8,Technical - Tech documentation/personnel issues during scheduled maint,Technical,N,Technical,Tech documentation/personnel issues during scheduled maint,42,B
OP0008-2021-10-11-FRA-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,12,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0221-2021-10-11-AUH-KHI,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0096-2021-10-12-IST-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,9,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0275-2021-10-12-HYD-AUH,16H,Slow settling of guests on board ,8,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0012-2021-10-12-LHR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,11,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0232-2021-10-12-ISB-AUH,16H,Slow settling of guests on board ,14,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP2551-2021-10-12-AUH-RUH,16I,Guest boarding,33,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP2333-2021-10-12-AUH-JED,16I,Guest boarding,10,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0654-2021-10-13-CAI-AUH,87A,Terminal building limitations/congestion; (use 85/86 for Security/CIH delay); ,8,Airport/Govt Auth - Airport terminal infrastructure/congestion limitations,AptAuth,N,Airport/Govt Authorities,Airport terminal infrastructure/congestion limitations,87,A
OP0460-2021-10-13-AUH-MEL,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,6,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP0073-2021-10-13-AUH-ZRH,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,4,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0385-2021-10-13-MCT-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,18,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0232-2021-10-13-ISB-AUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,12,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0020-2021-10-13-LHR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,9,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0475-2021-10-13-CGK-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,5,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0269-2021-10-13-MAA-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,5,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0281-2021-10-13-COK-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2317-2021-10-13-AUH-RUH,16I,Guest boarding,21,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0038-2021-10-13-CDG-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,12,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0018-2021-10-13-LHR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,6,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP2323-2021-10-13-AUH-DMM,16I,Guest boarding,5,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0653-2021-10-13-AUH-CAI,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,8,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0205-2021-10-13-BOM-AUH,16H,Slow settling of guests on board ,14,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0008-2021-10-13-FRA-AUH,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,14,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP0076-2021-10-13-MAD-AUH,33A,empty,14,Aircraft & Ramp - Late or lack of loading equipment ,Below Wing,Y,Aircraft & Ramp,Late or lack of loading equipment,33,A
OP0051-2021-10-13-AUH-GVA,16H,Slow settling of guests on board ,6,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP2321-2021-10-13-AUH-DMM,16I,Guest boarding,8,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0096-2021-10-13-IST-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0022-2021-10-13-MAN-AUH,85B,Extraordinary check requested by airport/government authorities; Lack/Breakdown,12,Airport/Govt Authorities - Airport/Government security authorities,AptAuth,N,Airport/Govt Authorities,Airport/Government security authorities,85,B
OP0042-2021-10-14-DUB-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,8,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP2334-2021-10-14-JED-AUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,28,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0454-2021-10-14-AUH-SYD,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0130-2021-10-14-IAD-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0273-2021-10-14-TRV-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,11,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0151-2021-10-15-AUH-ORD,18B,Late or incorrectly sorted transfer baggage; Lack of staff/equipment (use 91B ,9,Pax & Bag - Late or incorrectly sorted transfer baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted transfer baggage,18,B
OP0074-2021-10-15-ZRH-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,8,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0654-2021-10-15-CAI-AUH,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,22,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP0261-2021-10-15-MLE-AUH,21C,Late/Incorrect NOTOC presented to LC/loadmaster/flight crew,8,Cargo & Mail - Late or incorrect NOTOC for booked cargo/special loads,Below Wing,N,Cargo & Mail,Late or incorrect NOTOC for booked cargo/special loads,21,C
OP0873-2021-10-15-ICN-AUH,81A,En-route ATC demand/Capacity constraints; En-route military exercise,21,Air Traffic Flow Management Restrictions - En-route ATC congestion,NOC,N,Air Traffic Flow Management Restrictions,route ATC congestion,81,A
OP0150-2021-10-15-ORD-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0012-2021-10-15-LHR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,5,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0241-2021-10-15-AUH-LHE,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0077-2021-10-15-AUH-AMS,18B,Late or incorrectly sorted transfer baggage; Lack of staff/equipment (use 91B ,13,Pax & Bag - Late or incorrectly sorted transfer baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted transfer baggage,18,B
OP0274-2021-10-16-AUH-HYD,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,15,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0301-2021-10-16-AUH-KWI,18B,Late or incorrectly sorted transfer baggage; Lack of staff/equipment (use 91B ,20,Pax & Bag - Late or incorrectly sorted transfer baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted transfer baggage,18,B
OP0211-2021-10-16-NCR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,149,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0278-2021-10-16-AUH-MLE,93R,Applicable to all delays caused by late arrival of aircraft from another flight,31,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0242-2021-10-16-LHE-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,51,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP2551-2021-10-16-AUH-RUH,16I,Guest boarding,42,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0245-2021-10-17-DAC-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,18,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0020-2021-10-17-LHR-AUH,16D,Involuntary offloading of guest (incl. baggage) due medical reasons; on-board,48,Pax & Bag - Medical or personal offload / Medical assessment,Above Wing,N,Pax & Bag,Medical or personal offload / Medical assessment,16,D
OP1131-2021-10-17-AUH-IAD,86U,Extraordinary checks of guests/aircraft by CBP authorities causing delay in emb,8,Airport/Govt Authorities - CBP authorities,AptAuth,N,Airport/Govt Authorities,CBP authorities,86,U
OP0475-2021-10-17-CGK-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,86,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0281-2021-10-17-COK-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0042-2021-10-17-DUB-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,1,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP2551-2021-10-17-AUH-RUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0147-2021-10-17-AUH-VIE,21A,Late/Incorrect cargo and mail figures; Late UWS presented to loadmaster,7,Cargo & Mail - Late or incorrect load figures for booked cargo and mail,Below Wing,N,Cargo & Mail,Late or incorrect load figures for booked cargo and mail,21,A
OP2525-2021-10-17-AUH-DMM,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0150-2021-10-18-ORD-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0247-2021-10-18-COK-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,9,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0038-2021-10-19-CDG-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,7,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0097-2021-10-19-AUH-IST,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0221-2021-10-19-AUH-KHI,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,9,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0656-2021-10-19-CAI-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,10,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP2552-2021-10-19-RUH-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,8,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0418-2021-10-19-AUH-KUL,93R,Applicable to all delays caused by late arrival of aircraft from another flight,65,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0265-2021-10-19-CMB-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,51,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP2423-2021-10-19-MNL-AUH,XXX,default ,14,Unassigned,Others,Y,Unassigned,Unassigned,XX,X
OP0141-2021-10-19-AUH-YYZ,16I,Guest boarding,10,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0385-2021-10-20-MCT-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,18,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0141-2021-10-20-AUH-YYZ,16H,Slow settling of guests on board ,13,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0513-2021-10-20-AUH-AMM,16I,Guest boarding,11,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0534-2021-10-20-BEY-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,11,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0019-2021-10-20-AUH-LHR,33A,empty,29,Aircraft & Ramp - Late or lack of loading equipment ,Below Wing,Y,Aircraft & Ramp,Late or lack of loading equipment,33,A
OP0081-2021-10-20-AUH-MXP,96O,Re-routing; Diversions; Flight consolidation (explain details in SI section & D,26,Reactionary - Abnormal operations,NOC,N,Reactionary,Abnormal operations,96,O
